word,dialect,definition,example_runyoro,example_rutooro,related_words
tongana,Runyoro-Rutooro,"go to law, lead against",pr. form; to go to law,pr. form; to go to law,
tonganiirra,Runyoro-Rutooro,plead for another,pr. form; akasinga omusango lwbwokuba akaba aina arukumutongoniirra,pr. form; akasinga omusango lwbwokuba akaba aina arukumutongoniirra,
tongora,Runyoro-Rutooro,"pick, select the best or ripest",to pick; dance with,to pick; dance with,
tonokora,Runyoro-Rutooro,arouse pain in the sore as a result of bringing it into contact with a hard object accidentally,p1: form; obu arubata ekihooya kye kitonokora,p1: form; obu arubata ekihooya kye kitonokora,
tonokya,Runyoro-Rutooro,cause pain in the sore accidentally (your own or your friends,pr. of c.form; bakaba nibazaana owanyina yamutonokya ekihoya yatandika kurra,pr. of c.form; bakaba nibazaana owanyina yamutonokya ekihoya yatandika kurra,
tontera,Runyoro-Rutooro,"dive down, descend",dive down,dive down,
tontoma,Runyoro-Rutooro,"murmur, be angry, growl",pr. form; to murmur,pr. form; to murmur,
tontorrooma,Runyoro-Rutooro,"gmmble, murmur",to gmmble; abapagasa babaire 11ibatontorrooma habw'esaha barukumara hamulimo,to gmmble; abapagasa babaire 11ibatontorrooma habw'esaha barukumara hamulimo,
took,Runyoro-Rutooro,give present to (loved one,pr. form; iba akamutookera esaaha ya hamukono hakiro ky okuzaarwa kwe,pr. form; iba akamutookera esaaha ya hamukono hakiro ky okuzaarwa kwe,
tooliika,Runyoro-Rutooro,"collect and put together worn-out things, patch old clothes",to collect and put together worn-out things,to collect and put together worn-out things,
toonya,Runyoro-Rutooro,"drizzle, drip",pr. fon n; to drizzle,pr. fon n; to drizzle,
toonyereza,Runyoro-Rutooro,"dress up, be grand",pr. form; to dress up,pr. form; to dress up,
toonyeza,Runyoro-Rutooro,"dot, mark or tick off",kakuba oikaarra hansi y 'orugoye n1bisi orohanikire nirukutoonyeza amalZl; to dot,kakuba oikaarra hansi y 'orugoye n1bisi orohanikire nirukutoonyeza amalZl; to dot,
toonyoroka,Runyoro-Rutooro,"leave off (rain), get dry","anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka; anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka, one who has taken shelter from rain and has a longjourney to cover will not wait till it ceases","anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka; anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka, one who has taken shelter from rain and has a longjourney to cover will not wait till it ceases",
toonyorrooka,Runyoro-Rutooro,be empted of every drip,haroho engoye ezanguha kutoonyorrooka obu ziba zijubire n'ezitanguha; pr. form,haroho engoye ezanguha kutoonyorrooka obu ziba zijubire n'ezitanguha; pr. form,
toora,Runyoro-Rutooro,dress grandly,pr. form; c.form,pr. form; c.form,below
toorana,Runyoro-Rutooro,be well mixed,om11bazi gujunge kurungi gutoorane; to be well mixed,om11bazi gujunge kurungi gutoorane; to be well mixed,
toorra,Runyoro-Rutooro,"weed (bean, millet",to weed (bean; pr.fonn,to weed (bean; pr.fonn,
toorwa,Runyoro-Rutooro,"be lewd, lascivious",pr. form; to be lewd,pr. form; to be lewd,
tooza,Runyoro-Rutooro,cause to be sharp,t. enyana,t. enyana,
torogo,Runyoro-Rutooro,still-born child or animal,,,
torooga,Runyoro-Rutooro,"abort, have a miscarriage (esp. animals",p1: form; to abort,p1: form; to abort,
toroogereza,Runyoro-Rutooro,"defile, make sex with an immature girl, of a bull serve a calf which is not yet ready for mating",pass. of c. form. toroogerezibwa; to defile,pass. of c. form. toroogerezibwa; to defile,
torotoro,Runyoro-Rutooro,"yemeerra t., stand erect",,,
tota,Runyoro-Rutooro,"become sodden, very soft dough (as millet cooked with too much water",to become sodden; c.form,to become sodden; c.form,
totatota,Runyoro-Rutooro,"relapse, grow weak",to relapse; pr. form,to relapse; pr. form,
toteerra,Runyoro-Rutooro,"deteriorate, degenerate, slacken, lose strength",ensaano y 'obuo akagita omumai2i agagihinguraine; to deteriorate,ensaano y 'obuo akagita omumai2i agagihinguraine; to deteriorate,
totoorra,Runyoro-Rutooro,sprinkle in more flour when cooking mil let (oburo,c. form; akaburwa ensaa110 y'okubutotoroza,c. form; akaburwa ensaa110 y'okubutotoroza,
totorrooka,Runyoro-Rutooro,"u changes to w before vowels. Otuta\tukatunywa Ky amukaaga, we drank the little milk on Saturday",omuhotozi oburo bwe obu butota tateekaana butakatotorrookere a stirrer of millet is never settled untU her millet that is going soft gets back to normal. -tu- subj. and obj. pronom concord for nouns in cl. 13. u changes to w before vowels. Otuta\tukatunywa Ky amukaaga; Otwana tw 'ambeba batwisire,omuhotozi oburo bwe obu butota tateekaana butakatotorrookere a stirrer of millet is never settled untU her millet that is going soft gets back to normal. -tu- subj. and obj. pronom concord for nouns in cl. 13. u changes to w before vowels. Otuta\tukatunywa Ky amukaaga; Otwana tw 'ambeba batwisire,
toy,Runyoro-Rutooro,"ekyokuzaanisa, ekisisani",see ekitulege. transfer,see ekitulege. transfer,ekitulege
track,Runyoro-Rutooro,"omuhanda, ekirale, oruheodo, ekisinde, ekikurruzo, omukurundozo, omukwebeya, omukurumuro, orugendero, omukwebebe, orufumbiro. tran slator, omuhinduz omuduumi. transparent, be, roorrana, hweza, roleekana, ba w'amananu. track, v., raaza, ronda, ziga, ronza, sogoita. transquillity, obuculeezi, obusinge. tracker, omuronzi, omuraaza, omucwi. trap, n., omutego, ekiriba, enkanda, omwesuuso, obuhya",,,
trade,Runyoro-Rutooro,"obuguzi, obusuubuzi. trap, v., tega, liita, inika, halika. trade, v., tunda, guza, tana, suubura. trader, omuguzi, omusuubuzi. travail, v., talibana, taana","rumwa okuzaara. tradition, akaruukaruukaine, akasigasigano, akaronkoronko. travel v., genda omurugendo.; rumwa okuzaara. tradition","rumwa okuzaara. tradition, akaruukaruukaine, akasigasigano, akaronkoronko. travel v., genda omurugendo.; rumwa okuzaara. tradition",
trail,Runyoro-Rutooro,"ekirale, ekisinde, omukurumuro, orutanana, ekikururuzo, orufumbiro, obusinde",,,
train,Runyoro-Rutooro,egaali ey'omwika,,,
tramp,Runyoro-Rutooro,"enswagiro, emirindi. toughness, obugwnu, obwomangane. tow, v., kuurra, sika. trample on, rubatiirra, sambiirra, munyiirra, kurugutiirra. toward, bali, nambere. trampled, down, place, irubatiirro, ikurugutiirro. towel, ekitambaara, ekikoba, etawulo (/) town, orubuga. tranquil,-culeezi",,,
travel,Runyoro-Rutooro,"ekweya, andaara",,,
tray,Runyoro-Rutooro,"kuurra. treachery, obugobya",,,
tread,Runyoro-Rutooro,"enswagiro train, v., egesa, oroora, tendeka. trainer, omwegesa. tread, v., Jibata, rubata, samba, kanjaiga, junga, tuguoya, liita emiriodi","see singira. trait, see akasigasigaoo. treason, obwemi. traitor, omugobya, omwerni, omuduupi, omuhyangya.; see singira. trait","see singira. trait, see akasigasigaoo. treason, obwemi. traitor, omugobya, omwerni, omuduupi, omuhyangya.; see singira. trait","akasigasigaoo, singira"
treasure,Runyoro-Rutooro,"itungo, obuguuda, ekiitungo",see ebikwato. ## treasurer treasurer; I. badly,see ebikwato. ## treasurer treasurer; I. badly,ebikwato
trembling,Runyoro-Rutooro,"ekitukumo, entengeetera, eki.mazi. tremendous, kooto muno","see colossal. trench, 11., omugende, omukura. trespass, 11. ekyokusiiisa, okusobya. trespass, v., siisa, sobya, baba, gwerwa omusango; see intrude. trespasser","see colossal. trench, 11., omugende, omukura. trespass, 11. ekyokusiiisa, okusobya. trespass, v., siisa, sobya, baba, gwerwa omusango; see intrude. trespasser","intrude, colossal"
trick,Runyoro-Rutooro,"obugobya, isano","see enkarwa. trick, v., gobyagobya, duupa. trickle,gereerra, toonyatoonya.; see enkarwa. trick","see enkarwa. trick, v., gobyagobya, duupa. trickle,gereerra, toonyatoonya.; see enkarwa. trick",enkarwa
trifle,Runyoro-Rutooro,"taruka, tabaijuka, teerwa enkonge, esiitara, etinira. trip trip, v.tr., tabaijura, esiitaza, tega enkarwa, tamu ensibiko",jugura,jugura,
triumph,Runyoro-Rutooro,"ita kubi, tuntuza, gadya, teganiza",see cwa oburangara. troublesome; trouble,see cwa oburangara. troublesome; trouble,cwa
trumpet,Runyoro-Rutooro,"amuza. trumpeter, omukondere, omugwara. trunk (oftree), ekikunya, empinju, enkonge. trust, 11 obwesige trust, v., esiga trustworthiness, obwesigwa trustworthy,- (a) okwesiga truth, amazima, amananu. try, v., lengabo, tegeekaoi.£a, tagiza. trypanosomiasis, rwakipumpuli ## tsetse tsetse Oy, ekibaara. tub, ipipa, obwato. tube, oruseke. tuberculosis, akakonko",,,
tuck,Runyoro-Rutooro,kugira,t. right side up; t. up,t. right side up; t. up,orusunsu
tugika,Runyoro-Rutooro,forcibly demand payment of debt,pass form; omutongi atugika omunyaibanja ou arukwerengeerra,pass form; omutongi atugika omunyaibanja ou arukwerengeerra,
tugunya,Runyoro-Rutooro,"tread on, squash",p1:form; to tread on,p1:form; to tread on,
tuguojuika,Runyoro-Rutooro,be squashed,pr. form; ebyenju akaba aba/eetiire bikatugunjukira omunsahu,pr. form; ebyenju akaba aba/eetiire bikatugunjukira omunsahu,
tuguukwa,Runyoro-Rutooro,"liung around, stand for a long time doing nothing",abaana baahaburwaga kutatug11likwa hagati y'abantu bakum; to liung around,abaana baahaburwaga kutatug11likwa hagati y'abantu bakum; to liung around,
tuka,Runyoro-Rutooro,"defame, run down",to defame; pr. form,to defame; pr. form,
tukiriza,Runyoro-Rutooro,"pester, importune",pr. form; to pester,pr. form; to pester,
tukuma,Runyoro-Rutooro,"tremble, shiver",pr. form; to tremble,pr. form; to tremble,below
tukura,Runyoro-Rutooro,be red,pr. fon n; c. form,pr. fon n; c. form,
tukurnira,Runyoro-Rutooro,shiver particularly of fever,pr. form; akamara ebirobibirinaatukumira,pr. form; akamara ebirobibirinaatukumira,
tuliikirlza,Runyoro-Rutooro,c,to be nearly ripe,to be nearly ripe,
tuma,Runyoro-Rutooro,"send, send for",to send; mukama w 'amaju akatumira abapangisa be omutabani bam11he sente ze ez 'obusuuru,to send; mukama w 'amaju akatumira abapangisa be omutabani bam11he sente ze ez 'obusuuru,
tumbisa,Runyoro-Rutooro,cause to rise,,,
tumbuka,Runyoro-Rutooro,"swell into a lump, grow into a mature person",pr. form; to swell into a lump,pr. form; to swell into a lump,
tumbura,Runyoro-Rutooro,"exalt, speak well of",c.form; to exalt,c.form; to exalt,
tumburuka,Runyoro-Rutooro,"be very tall, rise to a great height",to be very tall; oburo obubaire nibusisa nk 'oburaasiriira hati butumburukire,to be very tall; oburo obubaire nibusisa nk 'oburaasiriira hati butumburukire,
tumya,Runyoro-Rutooro,send for from a distance,,,
tuna,Runyoro-Rutooro,"gaze, stand motionless",to gaze,to gaze,
tunama,Runyoro-Rutooro,"show through (e.g. bones through flesh), protrude",pr. form; amagufa gakamutunamira enaku,pr. form; amagufa gakamutunamira enaku,
tunda,Runyoro-Rutooro,sell,pr. fonn; omutabani nuweyamutundiire embuzi ye,pr. fonn; omutabani nuweyamutundiire embuzi ye,
tundubaaale,Runyoro-Rutooro,f,tarpaulin,tarpaulin,
tundubara,Runyoro-Rutooro,swell in water,be taciturn; omuntu atundubara obu aikaarra omubantu akatunuurra kwonka ataina kintu kyona ekiarukubaza,be taciturn; omuntu atundubara obu aikaarra omubantu akatunuurra kwonka ataina kintu kyona ekiarukubaza,
tundubika,Runyoro-Rutooro,"soften in water, soak",pr. form; to soften in water,pr. form; to soften in water,
tunduka,Runyoro-Rutooro,"protrude, stick out",to protrude; pr. form,to protrude; pr. form,
tundura,Runyoro-Rutooro,"cause to protrude, squeeze out","to cause to protrude, squeeze out pass.form, tundurwa, ku-, oku- (pf. tundwirwe).; to cause to protrude","to cause to protrude, squeeze out pass.form, tundurwa, ku-, oku- (pf. tundwirwe).; to cause to protrude",
tune,Runyoro-Rutooro,iraka,,,
tungama,Runyoro-Rutooro,"mount up into, mount upon, mount on, ascend",mount up into,mount up into,
tungamira,Runyoro-Rutooro,get on top of (a person,pass. of pr. fonn; akamusanga amutungamiire naamuniga yamuteera 11'amwigo,pass. of pr. fonn; akamusanga amutungamiire naamuniga yamuteera 11'amwigo,
tungeera,Runyoro-Rutooro,"collect, clog, stand, stagnant (water",to collect; pr. form,to collect; pr. form,
tungikiirra,Runyoro-Rutooro,put on the top of,"abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di, water carriers long ago used to carry water-jars and then put something else on their tops.; abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di","abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di, water carriers long ago used to carry water-jars and then put something else on their tops.; abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di",
tungira,Runyoro-Rutooro,{pf. -tungiire,ebyoku/ya ebirukucumbwa obu obona byatungira; munywani we nuweyamuhmgiire omulimo,ebyoku/ya ebirukucumbwa obu obona byatungira; munywani we nuweyamuhmgiire omulimo,food
tungirwa,Runyoro-Rutooro,foreg,,,
tunguka,Runyoro-Rutooro,grow tall,,,
tungununa,Runyoro-Rutooro,taste sour,,,
tungura,Runyoro-Rutooro,fasten pointed narrow part of hoe firmly to handle,abasaija baat1mguruurra bakazi baabo enfuka; pr.form,abasaija baat1mguruurra bakazi baabo enfuka; pr.form,
tungurruuka,Runyoro-Rutooro,"come, unstring or unthreaded, come off a rope or stick",to come,to come,
tunguurra,Runyoro-Rutooro,"begin to form (grains of millet, etc",oburo butungmwire abaana batandike kubulinda enyonyi; to begin to form (grains of millet,oburo butungmwire abaana batandike kubulinda enyonyi; to begin to form (grains of millet,
tunguuta,Runyoro-Rutooro,"shake, wobble",to shake,to shake,
tunguutana,Runyoro-Rutooro,perspire,pass. of c.form; obubabutikira omuntu antkutukumira ebyokwesweka bingi atunguutana,pass. of c.form; obubabutikira omuntu antkutukumira ebyokwesweka bingi atunguutana,
tunjka,Runyoro-Rutooro,"stretch, extend fully",to stretch; pr. form,to stretch; pr. form,
tunnel,Runyoro-Rutooro,oruhambiro,"see arnanogo; see arnanogo, ekisensero. twinkle, v., angasana, koimya. turban, ekitambaara, ekiremba. twist, v., botora, zingiicra, hota, ranga, ongosa, zigisa, ehotoleza, myora. turbid, become, tabaoguka. twitch, cura, curwa","see arnanogo; see arnanogo, ekisensero. twinkle, v., angasana, koimya. turban, ekitambaara, ekiremba. twist, v., botora, zingiicra, hota, ranga, ongosa, zigisa, ehotoleza, myora. turbid, become, tabaoguka. twitch, cura, curwa",arnanogo
tuntumuka,Runyoro-Rutooro,grow very fast,"akahuniirra kusanga emiti yabyaire omu mwaka gumu guti, etunrumukire eri haiguru, he/she was surprised to find that within one year the trees he/she had planted had already matured.; akahuniirra kusanga emiti yabyaire omu mwaka gumu guti","akahuniirra kusanga emiti yabyaire omu mwaka gumu guti, etunrumukire eri haiguru, he/she was surprised to find that within one year the trees he/she had planted had already matured.; akahuniirra kusanga emiti yabyaire omu mwaka gumu guti",
tuntura,Runyoro-Rutooro,"be troubled, anxious, worried",pr. fonn. tullt11lurra; to be troubled,pr. fonn. tullt11lurra; to be troubled,
tunuurra,Runyoro-Rutooro,"gaze at, behold",p1: form; to gaze at,p1: form; to gaze at,
tuoga,Runyoro-Rutooro,thread on a string or stick,to have get; form,to have get; form,
tuogama,Runyoro-Rutooro,be very steep,c. form; akatungamya omutwe gw'dikfaalisi hakitabu n'ekisago,c. form; akatungamya omutwe gw'dikfaalisi hakitabu n'ekisago,
tura,Runyoro-Rutooro,set out to work,abagara batuurra esaaha isatu; pr. form,abagara batuurra esaaha isatu; pr. form,to
turf,Runyoro-Rutooro,"ekisindikwa, ekiteneke",,,
turn,Runyoro-Rutooro,"orubu, oruharo, obukome",,,
turo,Runyoro-Rutooro,"a plant used for rubbing on children to induce sleep. turo, o-, n. c/.13, (pl. nil",a plant used for rubbing on children to induce sleep. turo; ot. otwawansazi,a plant used for rubbing on children to induce sleep. turo; ot. otwawansazi,
turoiriza,Runyoro-Rutooro,c,akamutumiririza kutagira mwana ondi ow'okutuma; pass. of pr. c.form,akamutumiririza kutagira mwana ondi ow'okutuma; pass. of pr. c.form,
turuka,Runyoro-Rutooro,go or come out,pr.:form; orufu orw' (musaija baruturuk-ira ebiro bbina kandi orw' (omukazi bâatu,pr.:form; orufu orw' (musaija baruturuk-ira ebiro bbina kandi orw' (omukazi bâatu,below
turukya,Runyoro-Rutooro,"bring or take out, eject",to bring or take out; omuntu asisikaire: onda aturukya orwoya rubi,to bring or take out; omuntu asisikaire: onda aturukya orwoya rubi,
turumuka,Runyoro-Rutooro,"be languid, slothful",omunt11 alakozesa mubiri gwe aikara aturumukire; to be languid,omunt11 alakozesa mubiri gwe aikara aturumukire; to be languid,
turuotuka,Runyoro-Rutooro,"get out of line, get in front",to get out of line,to get out of line,
turuukana,Runyoro-Rutooro,pass right through,kiba ky'engeso mbi kutaaha enju y'omuntu okagit! Iruukana otaina owoomuju weena akwebembiire; pass. Jann,kiba ky'engeso mbi kutaaha enju y'omuntu okagit! Iruukana otaina owoomuju weena akwebembiire; pass. Jann,
turuukiriza,Runyoro-Rutooro,c,to project; torukwikirizibwa kuturuukiriza omutwe gwawe omwidirisa /ya motoka erukwiruka,to project; torukwikirizibwa kuturuukiriza omutwe gwawe omwidirisa /ya motoka erukwiruka,
tutubika,Runyoro-Rutooro,gurgle,,,
tutumbuka,Runyoro-Rutooro,"be bruised, have lumps on the body, have scabies",to be bruised,to be bruised,
tutumbura,Runyoro-Rutooro,to cause lumps on the body,,,
tuuba,Runyoro-Rutooro,"be gluttonous, voracious",to be gluttonous; pr. form,to be gluttonous; pr. form,
tuuka,Runyoro-Rutooro,tie (aknot,,,
tuukuurra,Runyoro-Rutooro,be very hot (e.g. water steam,pass. of c.form; c.form,pass. of c.form; c.form,
tuumuuka,Runyoro-Rutooro,ascend (smoke,,,
tuura,Runyoro-Rutooro,"to dwell, sigh",c. fonn; atwire hakyaro hanu kumara obusumi bwingi baitu titukahuurraaga ngu aibire,c. fonn; atwire hakyaro hanu kumara obusumi bwingi baitu titukahuurraaga ngu aibire,below
tuurra,Runyoro-Rutooro,"be sour, be spoilt (beer",c. form. turuza; to be sour,c. form. turuza; to be sour,
tuurruuma,Runyoro-Rutooro,"be grumpy, grumble, growl",omuntu obu ahikaho embwa erukunena igufa; to be grumpy,omuntu obu ahikaho embwa erukunena igufa; to be grumpy,
tuuta,Runyoro-Rutooro,"toswell, be distended",blow hard; toswell,blow hard; toswell,
tuutuka,Runyoro-Rutooro,"sweat, be in a perspiration",to sweat; pr. form,to sweat; pr. form,"see, tuya"
tuuya,Runyoro-Rutooro,sweat,omusana gutuuyisa omuntu obu agukoorraamu emirimo; c.form,omusana gutuuyisa omuntu obu agukoorraamu emirimo; c.form,
tuuza,Runyoro-Rutooro,it is written separately before the noun butjoined with a possessive root and self standing pronoun,pr. form; Omukama obu atuuza omuguta gwe gwnara ebiro mwenda gutakatabaaziibwe,pr. form; Omukama obu atuuza omuguta gwe gwnara ebiro mwenda gutakatabaaziibwe,
twalirirwa,Runyoro-Rutooro,"have a nap, be drowsy, doze up",to have a nap; ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno,to have a nap; ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno,
twaliriza,Runyoro-Rutooro,c,orobazo rwe rokamutwaliriza yahinguza esaaha z'okugamka omuka; ornubazi akagunywa mpora natwaliriza yalindwa yagumaramu,orobazo rwe rokamutwaliriza yahinguza esaaha z'okugamka omuka; ornubazi akagunywa mpora natwaliriza yalindwa yagumaramu,
twara,Runyoro-Rutooro,"take, carry, conduct",t.enda; to take,t.enda; to take,
twarraaniza,Runyoro-Rutooro,c,blame collectively,blame collectively,
twaza,Runyoro-Rutooro,"drive, frighten off, take, help",to drive; pass. of c. form,to drive; pass. of c. form,
tweka,Runyoro-Rutooro,"send, cause to conceive (by fornication",to send,to send,
twekera,Runyoro-Rutooro,conceive (by fornication,to send to; put in handle (hoe,to send to; put in handle (hoe,
